episode,total_reward
0,-1366.0
1,-2718.0
2,-1478.0
3,-3415.0
4,-1222.0
5,-2254.0
6,-2477.0
7,-2905.0
8,-317.0
9,-1060.0
10,-1477.0
11,-1254.0
12,-644.0
13,-1502.0
14,-2474.0
15,-2271.0
16,-970.0
17,-1498.0
18,-1190.0
19,-355.0
20,-509.0
21,-646.0
22,-1693.0
23,-840.0
24,-828.0
25,-908.0
26,-1939.0
27,-1018.0
28,-711.0
29,-1086.0
30,-108.0
31,-259.0
32,53.0
33,-859.0
34,-314.0
35,-989.0
36,29.0
37,-977.0
38,-1483.0
39,-657.0
40,201.0
41,-720.0
42,-154.0
43,-467.0
44,-710.0
45,-552.0
46,-125.0
47,-1497.0
48,319.0
49,-331.0
50,-424.0
51,-292.0
52,243.0
53,187.0
54,-153.0
55,60.0
56,-979.0
57,-163.0
58,-689.0
59,152.0
60,774.0
61,-748.0
62,129.0
63,292.0
64,-447.0
65,-163.0
66,583.0
67,21.0
68,462.0
69,-384.0
70,-72.0
71,-746.0
72,335.0
73,-69.0
74,-93.0
75,520.0
76,-344.0
77,-85.0
78,298.0
79,-17.0
80,182.0
81,-455.0
82,-9.0
83,120.0
84,144.0
85,819.0
86,-7.0
87,343.0
88,451.0
89,456.0
90,500.0
91,215.0
92,18.0
93,252.0
94,-381.0
95,281.0
96,1176.0
97,823.0
98,129.0
99,691.0
100,389.0
101,331.0
102,148.0
103,351.0
104,463.0
105,236.0
106,363.0
107,250.0
108,705.0
109,877.0
110,692.0
111,971.0
112,665.0
113,972.0
114,1035.0
115,1069.0
116,572.0
117,477.0
118,-113.0
119,829.0
120,518.0
121,1063.0
122,808.0
123,442.0
124,1142.0
125,470.0
126,829.0
127,475.0
128,502.0
129,751.0
130,1029.0
131,830.0
132,707.0
133,733.0
134,671.0
135,742.0
136,788.0
137,637.0
138,853.0
139,978.0
140,415.0
141,882.0
142,548.0
143,751.0
144,875.0
145,897.0
146,1129.0
147,1176.0
148,173.0
149,699.0
150,723.0
151,419.0
152,571.0
153,680.0
154,1001.0
155,892.0
156,809.0
157,894.0
158,686.0
159,1056.0
160,801.0
161,790.0
162,1281.0
163,1117.0
164,1105.0
165,1057.0
166,1048.0
167,995.0
168,860.0
169,862.0
170,919.0
171,1213.0
172,1027.0
173,992.0
174,1054.0
175,1026.0
176,1297.0
177,1228.0
178,815.0
179,928.0
180,1124.0
181,947.0
182,945.0
183,1060.0
184,1138.0
185,1011.0
186,1043.0
187,1054.0
188,934.0
189,692.0
190,902.0
191,1151.0
192,779.0
193,1157.0
194,1018.0
195,1053.0
196,902.0
197,1124.0
198,1011.0
199,1267.0
200,1169.0
201,1189.0
202,1056.0
203,1053.0
204,878.0
205,894.0
206,841.0
207,1074.0
208,837.0
209,1051.0
210,852.0
211,1235.0
212,1340.0
213,1308.0
214,1382.0
215,816.0
216,977.0
217,1162.0
218,1090.0
219,940.0
220,1312.0
221,1300.0
222,1258.0
223,1152.0
224,1422.0
225,1258.0
226,848.0
227,1319.0
228,1386.0
229,1165.0
230,1200.0
231,1066.0
232,1109.0
233,1152.0
234,1123.0
235,1378.0
236,1308.0
237,1217.0
238,1084.0
239,1331.0
240,1126.0
241,1172.0
242,1355.0
243,972.0
244,1352.0
245,1266.0
246,1272.0
247,1207.0
248,1390.0
249,1251.0
250,1251.0
251,1229.0
252,1325.0
253,1289.0
254,1168.0
255,1000.0
256,1447.0
257,1294.0
258,1347.0
259,1345.0
260,1078.0
261,1420.0
262,1514.0
263,1255.0
264,1292.0
265,1154.0
266,1396.0
267,862.0
268,1312.0
269,1234.0
270,1391.0
271,1041.0
272,1363.0
273,1108.0
274,1422.0
275,1406.0
276,1215.0
277,1305.0
278,1404.0
279,1018.0
280,1161.0
281,1165.0
282,1392.0
283,1464.0
284,1460.0
285,1364.0
286,1349.0
287,1297.0
288,1362.0
289,1252.0
290,1292.0
291,1344.0
292,1288.0
293,1311.0
294,1251.0
295,1312.0
296,1298.0
297,1392.0
298,1291.0
299,1171.0
300,1298.0
301,1146.0
302,1354.0
303,1503.0
304,1378.0
305,1580.0
306,1507.0
307,1359.0
308,1451.0
309,1382.0
310,1446.0
311,1166.0
312,1233.0
313,1659.0
314,1459.0
315,1407.0
316,1362.0
317,1309.0
318,1386.0
319,1333.0
320,1414.0
321,1509.0
322,1499.0
323,1432.0
324,1486.0
325,1450.0
326,1573.0
327,1423.0
328,1441.0
329,1446.0
330,1351.0
331,1485.0
332,1313.0
333,1626.0
334,1274.0
335,1597.0
336,1456.0
337,1420.0
338,1345.0
339,1496.0
340,1365.0
341,1405.0
342,1326.0
343,1580.0
344,1480.0
345,1520.0
346,1545.0
347,1375.0
348,1467.0
349,1411.0
350,1550.0
351,1210.0
352,1492.0
353,1368.0
354,1496.0
355,1531.0
356,1237.0
357,1345.0
358,1449.0
359,1390.0
360,1405.0
361,1417.0
362,1347.0
363,1404.0
364,1586.0
365,1319.0
366,1540.0
367,1399.0
368,1495.0
369,1505.0
370,1253.0
371,1555.0
372,1456.0
373,1350.0
374,1366.0
375,1509.0
376,1445.0
377,1457.0
378,1615.0
379,1574.0
380,1521.0
381,1478.0
382,1279.0
383,1487.0
384,1434.0
385,1407.0
386,1451.0
387,1375.0
388,1421.0
389,1308.0
390,1536.0
391,1488.0
392,1469.0
393,1576.0
394,1640.0
395,1518.0
396,1605.0
397,1507.0
398,1428.0
399,1460.0
400,1475.0
401,1572.0
402,1644.0
403,1549.0
404,1487.0
405,1540.0
406,1514.0
407,1456.0
408,1553.0
409,1545.0
410,1587.0
411,1510.0
412,1428.0
413,1391.0
414,1506.0
415,1572.0
416,1604.0
417,1542.0
418,1644.0
419,1512.0
420,1586.0
421,1625.0
422,1486.0
423,1378.0
424,1430.0
425,1493.0
426,1604.0
427,1563.0
428,1662.0
429,1680.0
430,1453.0
431,1503.0
432,1456.0
433,1447.0
434,1413.0
435,1390.0
436,1505.0
437,1564.0
438,1468.0
439,1416.0
440,1596.0
441,1483.0
442,1590.0
443,1471.0
444,1430.0
445,1524.0
446,1527.0
447,1513.0
448,1532.0
449,1377.0
450,1557.0
451,1645.0
452,1586.0
453,1657.0
454,1630.0
455,1604.0
456,1550.0
457,1470.0
458,1609.0
459,1473.0
460,1576.0
461,1734.0
462,1612.0
463,1644.0
464,1586.0
465,1716.0
466,1536.0
467,1458.0
468,1605.0
469,1487.0
470,1534.0
471,1443.0
472,1462.0
473,1586.0
474,1590.0
475,1698.0
476,1474.0
477,1576.0
478,1579.0
479,1680.0
480,1626.0
481,1698.0
482,1573.0
483,1608.0
484,1676.0
485,1644.0
486,1568.0
487,1622.0
488,1492.0
489,1524.0
490,1698.0
491,1575.0
492,1662.0
493,1564.0
494,1404.0
495,1630.0
496,1630.0
497,1633.0
498,1662.0
499,1482.0
500,1585.0
501,1510.0
502,1586.0
503,1422.0
504,1612.0
505,1492.0
506,1528.0
507,1416.0
508,1529.0
509,1518.0
510,1559.0
511,1580.0
512,1505.0
513,1586.0
514,1542.0
515,1658.0
516,1486.0
517,1617.0
518,1524.0
519,1476.0
520,1533.0
521,1543.0
522,1476.0
523,1367.0
524,1430.0
525,1622.0
526,1581.0
527,1453.0
528,1648.0
529,1644.0
530,1648.0
531,1222.0
532,1587.0
533,1622.0
534,1564.0
535,1571.0
536,1586.0
537,1518.0
538,1698.0
539,1366.0
540,1456.0
541,1442.0
542,1663.0
543,1568.0
544,1630.0
545,1589.0
546,1612.0
547,1576.0
548,1604.0
549,1603.0
550,1622.0
551,1663.0
552,1503.0
553,1612.0
554,1541.0
555,1529.0
556,1603.0
557,1362.0
558,1592.0
559,1589.0
560,1698.0
561,1679.0
562,1528.0
563,1572.0
564,1694.0
565,1615.0
566,1734.0
567,1525.0
568,1612.0
569,1698.0
570,1447.0
571,1611.0
572,1506.0
573,1446.0
574,1491.0
575,1622.0
576,1434.0
577,1540.0
578,1716.0
579,1698.0
580,1600.0
581,1640.0
582,1608.0
583,1590.0
584,1529.0
585,1546.0
586,1680.0
587,1489.0
588,1698.0
589,1622.0
590,1532.0
591,1621.0
592,1662.0
593,1559.0
594,1734.0
595,1586.0
596,1582.0
597,1523.0
598,1698.0
599,1604.0
600,1626.0
601,1587.0
602,1607.0
603,1586.0
604,1582.0
605,1680.0
606,1734.0
607,1752.0
608,1558.0
609,1640.0
610,1546.0
611,1622.0
612,1612.0
613,1612.0
614,1582.0
615,1464.0
616,1546.0
617,1612.0
618,1622.0
619,1648.0
620,1506.0
621,1600.0
622,1576.0
623,1547.0
624,1734.0
625,1564.0
626,1560.0
627,1508.0
628,1640.0
629,1680.0
630,1542.0
631,1604.0
632,1611.0
633,1576.0
634,1604.0
635,1622.0
636,1752.0
637,1629.0
638,1568.0
639,1582.0
640,1524.0
641,1547.0
642,1541.0
643,1699.0
644,1604.0
645,1585.0
646,1507.0
647,1599.0
648,1630.0
649,1734.0
650,1680.0
651,1492.0
652,1658.0
653,1586.0
654,1593.0
655,1622.0
656,1593.0
657,1716.0
658,1666.0
659,1608.0
660,1630.0
661,1630.0
662,1676.0
663,1640.0
664,1666.0
665,1640.0
666,1612.0
667,1582.0
668,1582.0
669,1612.0
670,1604.0
671,1630.0
672,1546.0
673,1698.0
674,1666.0
675,1698.0
676,1640.0
677,1568.0
678,1734.0
679,1648.0
680,1630.0
681,1630.0
682,1564.0
683,1716.0
684,1582.0
685,1603.0
686,1698.0
687,1604.0
688,1716.0
689,1604.0
690,1648.0
691,1640.0
692,1698.0
693,1604.0
694,1662.0
695,1698.0
696,1648.0
697,1600.0
698,1542.0
699,1640.0
700,1622.0
701,1698.0
702,1752.0
703,1752.0
704,1658.0
705,1582.0
706,1595.0
707,1590.0
708,1542.0
709,1582.0
710,1612.0
711,1658.0
712,1591.0
713,1547.0
714,1604.0
715,1648.0
716,1586.0
717,1698.0
718,1734.0
719,1546.0
720,1640.0
721,1752.0
722,1639.0
723,1630.0
724,1622.0
725,1658.0
726,1734.0
727,1630.0
728,1612.0
729,1612.0
730,1564.0
731,1600.0
732,1600.0
733,1734.0
734,1716.0
735,1553.0
736,1752.0
737,1716.0
738,1658.0
739,1622.0
740,1594.0
741,1524.0
742,1648.0
743,1578.0
744,1565.0
745,1698.0
746,1640.0
747,1752.0
748,1666.0
749,1523.0
750,1648.0
751,1648.0
752,1658.0
753,1658.0
754,1629.0
755,1666.0
756,1716.0
757,1666.0
758,1582.0
759,1559.0
760,1630.0
761,1604.0
762,1648.0
763,1604.0
764,1622.0
765,1630.0
766,1716.0
767,1658.0
768,1687.0
769,1666.0
770,1734.0
771,1705.0
772,1643.0
773,1576.0
774,1640.0
775,1666.0
776,1734.0
777,1648.0
778,1553.0
779,1542.0
780,1600.0
781,1734.0
782,1626.0
783,1752.0
784,1666.0
785,1640.0
786,1626.0
787,1716.0
788,1622.0
789,1716.0
790,1554.0
791,1630.0
792,1648.0
793,1627.0
794,1600.0
795,1640.0
796,1752.0
797,1648.0
798,1630.0
799,1666.0
800,1600.0
801,1594.0
802,1648.0
803,1666.0
804,1524.0
805,1506.0
806,1600.0
807,1600.0
808,1752.0
809,1582.0
810,1630.0
811,1734.0
812,1734.0
813,1640.0
814,1622.0
815,1640.0
816,1648.0
817,1705.0
818,1640.0
819,1560.0
820,1666.0
821,1559.0
822,1640.0
823,1612.0
824,1524.0
825,1640.0
826,1560.0
827,1658.0
828,1578.0
829,1578.0
830,1559.0
831,1734.0
832,1752.0
833,1564.0
834,1752.0
835,1622.0
836,1622.0
837,1658.0
838,1582.0
839,1752.0
840,1666.0
841,1648.0
842,1640.0
843,1639.0
844,1630.0
845,1647.0
846,1564.0
847,1658.0
848,1734.0
849,1666.0
850,1752.0
851,1734.0
852,1564.0
853,1600.0
854,1658.0
855,1648.0
856,1630.0
857,1603.0
858,1695.0
859,1560.0
860,1648.0
861,1640.0
862,1729.0
863,1640.0
864,1640.0
865,1669.0
866,1666.0
867,1622.0
868,1622.0
869,1648.0
870,1648.0
871,1716.0
872,1546.0
873,1603.0
874,1666.0
875,1648.0
876,1600.0
877,1582.0
878,1640.0
879,1600.0
880,1730.0
881,1582.0
882,1600.0
883,1687.0
884,1640.0
885,1609.0
886,1658.0
887,1676.0
888,1658.0
889,1734.0
890,1658.0
891,1752.0
892,1582.0
893,1752.0
894,1600.0
895,1600.0
896,1648.0
897,1564.0
898,1658.0
899,1630.0
900,1640.0
901,1640.0
902,1560.0
903,1622.0
904,1734.0
905,1648.0
906,1658.0
907,1666.0
908,1542.0
909,1752.0
910,1600.0
911,1658.0
912,1658.0
913,1752.0
914,1600.0
915,1600.0
916,1605.0
917,1734.0
918,1648.0
919,1582.0
920,1582.0
921,1666.0
922,1600.0
923,1752.0
924,1734.0
925,1600.0
926,1752.0
927,1600.0
928,1640.0
929,1640.0
930,1716.0
931,1752.0
932,1640.0
933,1640.0
934,1640.0
935,1734.0
936,1666.0
937,1622.0
938,1734.0
939,1658.0
940,1687.0
941,1658.0
942,1622.0
943,1658.0
944,1640.0
945,1752.0
946,1600.0
947,1658.0
948,1648.0
949,1640.0
950,1666.0
951,1658.0
952,1658.0
953,1666.0
954,1640.0
955,1666.0
956,1666.0
957,1577.0
958,1600.0
959,1649.0
960,1752.0
961,1666.0
962,1600.0
963,1734.0
964,1752.0
965,1640.0
966,1640.0
967,1582.0
968,1717.0
969,1734.0
970,1734.0
971,1541.0
972,1658.0
973,1582.0
974,1600.0
975,1666.0
976,1546.0
977,1600.0
978,1578.0
979,1648.0
980,1752.0
981,1666.0
982,1600.0
983,1666.0
984,1658.0
985,1622.0
986,1717.0
987,1716.0
988,1658.0
989,1734.0
990,1582.0
991,1658.0
992,1734.0
993,1640.0
994,1640.0
995,1666.0
996,1666.0
997,1716.0
998,1648.0
999,1658.0
1000,1666.0
1001,1648.0
1002,1600.0
1003,1647.0
1004,1666.0
1005,1600.0
1006,1752.0
1007,1658.0
1008,1647.0
1009,1658.0
1010,1734.0
1011,1666.0
1012,1658.0
1013,1752.0
1014,1582.0
1015,1658.0
1016,1734.0
1017,1600.0
1018,1600.0
1019,1582.0
1020,1752.0
1021,1752.0
1022,1600.0
1023,1734.0
1024,1582.0
1025,1752.0
1026,1735.0
1027,1752.0
1028,1600.0
1029,1734.0
1030,1640.0
1031,1752.0
1032,1716.0
1033,1640.0
1034,1658.0
1035,1666.0
1036,1752.0
1037,1734.0
1038,1716.0
1039,1752.0
1040,1582.0
1041,1648.0
1042,1666.0
1043,1658.0
1044,1648.0
1045,1600.0
1046,1582.0
1047,1582.0
1048,1666.0
1049,1600.0
1050,1734.0
1051,1734.0
1052,1666.0
1053,1752.0
1054,1734.0
1055,1600.0
1056,1648.0
1057,1666.0
1058,1658.0
1059,1666.0
1060,1622.0
1061,1658.0
1062,1716.0
1063,1752.0
1064,1658.0
1065,1554.0
1066,1734.0
1067,1630.0
1068,1666.0
1069,1622.0
1070,1560.0
1071,1600.0
1072,1666.0
1073,1658.0
1074,1752.0
1075,1666.0
1076,1648.0
1077,1648.0
1078,1559.0
1079,1626.0
1080,1698.0
1081,1734.0
1082,1564.0
1083,1560.0
1084,1658.0
1085,1648.0
1086,1640.0
1087,1752.0
1088,1666.0
1089,1729.0
1090,1734.0
1091,1716.0
1092,1666.0
1093,1666.0
1094,1600.0
1095,1622.0
1096,1666.0
1097,1752.0
1098,1600.0
1099,1716.0
1100,1582.0
1101,1582.0
1102,1578.0
1103,1666.0
1104,1658.0
1105,1582.0
1106,1546.0
1107,1658.0
1108,1600.0
1109,1569.0
1110,1639.0
1111,1582.0
1112,1648.0
1113,1582.0
1114,1658.0
1115,1752.0
1116,1752.0
1117,1734.0
1118,1752.0
1119,1666.0
1120,1658.0
1121,1752.0
1122,1582.0
1123,1582.0
1124,1559.0
1125,1658.0
1126,1648.0
1127,1658.0
1128,1666.0
1129,1666.0
1130,1666.0
1131,1600.0
1132,1582.0
1133,1658.0
1134,1752.0
1135,1630.0
1136,1734.0
1137,1734.0
1138,1600.0
1139,1658.0
1140,1734.0
1141,1666.0
1142,1666.0
1143,1600.0
1144,1716.0
1145,1594.0
1146,1752.0
1147,1648.0
1148,1649.0
1149,1636.0
1150,1583.0
1151,1752.0
1152,1658.0
1153,1752.0
1154,1666.0
1155,1752.0
1156,1716.0
1157,1636.0
1158,1752.0
1159,1717.0
1160,1639.0
1161,1648.0
1162,1600.0
1163,1752.0
1164,1735.0
1165,1640.0
1166,1600.0
1167,1640.0
1168,1752.0
1169,1658.0
1170,1752.0
1171,1600.0
1172,1734.0
1173,1712.0
1174,1641.0
1175,1658.0
1176,1666.0
1177,1640.0
1178,1734.0
1179,1658.0
1180,1600.0
1181,1648.0
1182,1666.0
1183,1600.0
1184,1752.0
1185,1640.0
1186,1648.0
1187,1582.0
1188,1734.0
1189,1658.0
1190,1582.0
1191,1640.0
1192,1658.0
1193,1560.0
1194,1658.0
1195,1666.0
1196,1648.0
1197,1630.0
1198,1600.0
1199,1666.0
